web-scraper-order,web-scraper-start-url,title,title-href,author,rating,cat,pubdate,hits
"1627546910-175","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=20","5000 steps to you","https://archiveofourown.org/works/19017622","carmillawriter","Not Rated","F/F","2019-05-29","839"
"1627550986-539","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=2","Stuck With You","https://archiveofourown.org/works/32571871","TheMissusM","Not Rated","F/F","2021-07-14","922"
"1627547634-240","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=17","wrong number, sorry.","https://archiveofourown.org/works/22904014","legitnayeon","Teen And Up Audiences","F/F","2020-03-02","332"
"1627545451-44","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=26","Mine","https://archiveofourown.org/works/14269296","Ponda","Explicit","F/F","2018-04-09","19827"
"1627549254-384","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=9","PLEASURE","https://archiveofourown.org/works/28839846","Rymwho","Explicit","F/F","2021-01-18","799"
"1627550751-518","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=3","Better Half","https://archiveofourown.org/works/31542086","jodijodijodi22","Explicit","F/F","2021-05-26","1627"
"1627550172-466","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=5","the best day","https://archiveofourown.org/works/31179554","clearlight08","General Audiences","F/F","2021-05-09","352"
"1627549938-445","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=6","Snapshot from the Past","https://archiveofourown.org/works/26332216","inspiritedstay","Mature","F/F","2020-09-07","476"
"1627546984-182","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=20","Lifetime","https://archiveofourown.org/works/21023015","jesuisNc","Not Rated","F/F","2019-10-14","682"
"1627546974-181","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=20","Changes","https://archiveofourown.org/works/20963648","jesuisNc","Not Rated","F/F","2019-10-09","1132"
"1627549511-407","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=8","Hell in Heaven (Twice- Saida)","https://archiveofourown.org/works/29644962","TwicePink is the Revolution (CamrensPosie)","General Audiences","F/F","2021-02-23","586"
"1627546070-100","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=24","Charred","https://archiveofourown.org/works/17403803","MackLaw_MDB5","Explicit","F/F","2019-01-13","646"
"1627544994-3","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=28","JYP X YG ships 1","https://archiveofourown.org/works/9481445","daddy_jae","Not Rated","F/F","2017-01-27","117"
"1627547155-197","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=19","Saturday","https://archiveofourown.org/works/21390571","Heyrrra","General Audiences","F/F","2019-11-11","1120"
"1627545601-58","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=26","Can I Kiss You?","https://archiveofourown.org/works/13337997","lovexyou","General Audiences","F/F","2018-01-12","6092"
"1627550922-533","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=2","Through The Years Our Love Has Hurt And Reigned.","https://archiveofourown.org/works/32493280","Kiki4lisa","Teen And Up Audiences","F/F","2021-07-10","427"
"1627548083-280","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","To The Moon","https://archiveofourown.org/works/18765241","divinelydecreed","Teen And Up Audiences","F/F","2019-05-09","1638"
"1627547581-235","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=17","Oh no😬","https://archiveofourown.org/works/22916242","Jessarmymoamonbebe","Explicit","Multi","2020-03-01","672"
"1627546792-164","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=20","Jenlisa/ Kaisoo soulmate AU","https://archiveofourown.org/works/19919503","orphan_account","Not Rated","F/F","2019-07-22","781"
"1627550034-454","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=6","Juggling Both","https://archiveofourown.org/works/25721089","MystBlBk","Not Rated","F/F","2020-08-05","853"
"1627548934-356","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=11","Sincerity is Scary","https://archiveofourown.org/works/27873618","fleetwoodsnac","General Audiences","F/F","2020-12-04","780"
"1627550012-452","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=6","The Girl Next Door","https://archiveofourown.org/works/28264323","robyntbh","Not Rated","F/F","2020-12-23","7439"
"1627549533-409","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=8","Blue Room","https://archiveofourown.org/works/29748930","bp_xxi","General Audiences","F/F","2021-02-28","250"
"1627550162-465","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=5","Without You","https://archiveofourown.org/works/31171364","justmusings","General Audiences","F/F","2021-05-08","420"
"1627547998-272","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","Sanctuary","https://archiveofourown.org/works/24759493","jenniesays","Teen And Up Audiences","F/F","2020-06-16","1763"
"1627549490-405","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=8","first love","https://archiveofourown.org/works/29458893","Adler7000","Mature","F/F","2021-02-15","56"
"1627550644-508","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=3","I know I'm losing, but the game is not over","https://archiveofourown.org/works/32025343","dumpkat","Mature","F/F","2021-06-18","488"
"1627548412-309","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=13","'cause all i want is you up on me","https://archiveofourown.org/works/24171316","TheAAngel","Explicit","F/F","2020-05-13","9421"
"1627547902-263","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","Playing Cupid is Not My Idea of Romance","https://archiveofourown.org/works/23942515","silent12reader","Teen And Up Audiences","F/F","2020-05-01","901"
"1627546303-121","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=23","Сумма всех наших частей","https://archiveofourown.org/works/18315431","wxldcard","Mature","F/F","2019-04-01","171"
"1627550258-474","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=5","footprints","https://archiveofourown.org/works/31240316","TallPikeRoast","General Audiences","null","2021-05-11","1064"
"1627549500-406","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=8","never the same","https://archiveofourown.org/works/29553414","alianovnasx","Teen And Up Audiences","F/F","2021-02-19","1288"
