web-scraper-order,web-scraper-start-url,title,title-href,author,rating,cat,pubdate,hits
"1626167317-10184","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=14","To The Moon","https://archiveofourown.org/works/18765241","divinelydecreed","Teen And Up Audiences","F/F","2019-05-09","1632"
"1626169525-10380","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=4","The Elite 5","https://archiveofourown.org/works/31229456","DemetriaRosy","Teen And Up Audiences","F/F","2021-05-11","68"
"1626168611-10299","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=8","Eyewitness","https://archiveofourown.org/works/25450606","ROSIEBERRY97","Teen And Up Audiences","F/F","2020-07-22","331"
"1626165958-10063","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=20","I am the hunter, I am the great unknown","https://archiveofourown.org/works/19022176","kimdahyunjin","Mature","F/F","2019-06-15","3905"
"1626170191-10436","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=1","Forest High","https://archiveofourown.org/works/32360260","Kiki4lisa","Mature","F/F","2021-07-04","525"
"1626167135-10168","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","What's Ours is Yours, and you know it","https://archiveofourown.org/works/24143497","orphan_account","Teen And Up Audiences","F/F","2020-05-12","89"
"1626168288-10271","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=10","Heart of a Saint, Life of a Sinner","https://archiveofourown.org/works/28454982","orphan_account","Teen And Up Audiences","F/F","2020-12-31","215"
"1626169858-10407","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=3","Playing With Fire","https://archiveofourown.org/works/31878967","adoringjenchulichaeng","Teen And Up Audiences","F/F","2021-06-11","577"
"1626164318-9917","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=27","Teufelspakt","https://archiveofourown.org/works/11435628","jisoopremacist","Teen And Up Audiences","F/F","2017-07-08","1039"
"1626167808-10228","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=12","Город мёртвых звёзд","https://archiveofourown.org/works/25594555","0_aesthetic_0","Explicit","F/F","2020-07-29","189"
"1626165702-10040","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=21","Be My Mistake","https://archiveofourown.org/works/18853405","ycviloria","Teen And Up Audiences","F/F","2019-05-17","1196"
"1626169761-10398","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=3","Four Girls Against the World (and some other sh*t)","https://archiveofourown.org/works/28746714","ash_er_maine","Mature","F/F","2021-01-14","4478"
"1626168932-10328","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=7","Are You Lost Babygirl?","https://archiveofourown.org/works/30233832","march_jo","Teen And Up Audiences","F/F","2021-03-24","586"
"1626167027-10158","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","I was there (I remember it all too well)","https://archiveofourown.org/works/23697949","ohjenniekim","General Audiences","F/F","2020-04-17","885"
"1626166866-10144","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=16","Listen, that's the sound of my heart","https://archiveofourown.org/works/23415181","rudesunyoung","Teen And Up Audiences","F/F","2020-03-31","1706"
"1626164169-9904","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=28","Cynical Saviour","https://archiveofourown.org/works/9472475","ExceptionalSinner","Explicit","F/F","2017-01-26","89"
"1626167605-10210","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=13","Venom in your Seoul","https://archiveofourown.org/works/26492671","slzzzpy","Explicit","F/F","2020-09-16","737"
"1626166268-10091","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=19","Will It Be Enough?","https://archiveofourown.org/works/21147146","catwhowrites","Teen And Up Audiences","F/F","2019-10-23","807"
"1626169299-10360","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=5","there's no need to be afraid (show me the colors of your heart)","https://archiveofourown.org/works/30890714","sweet_melodies","General Audiences","F/F","2021-04-25","623"
"1626168846-10320","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=7","You Belong With Me","https://archiveofourown.org/works/29917494","march_jo","Teen And Up Audiences","F/F","2021-03-08","1074"
"1626167113-10166","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=15","Playing Cupid is Not My Idea of Romance","https://archiveofourown.org/works/23942515","silent12reader","Teen And Up Audiences","F/F","2020-05-01","887"
"1626165377-10012","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=23","In this moment","https://archiveofourown.org/works/17972300","Effymaybe","General Audiences","F/F","2019-03-02","2078"
"1626168675-10305","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=8","Love Quota","https://archiveofourown.org/works/23430949","baebyulisa","Mature","F/F","2020-04-01","2781"
"1626168975-10332","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=7","Deja Vu","https://archiveofourown.org/works/30285639","Deborah_0_0","Mature","M/M","2021-03-26","37"
"1626168664-10304","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=8","Jikook ↣ You're The Brightest Star In My Sky","https://archiveofourown.org/works/29351535","Mystical_Rose","Not Rated","M/M","2021-02-11","297"
"1626169309-10361","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=5","Juggling Both","https://archiveofourown.org/works/25721089","MystBlBk","Not Rated","F/F","2020-08-05","830"
"1626165078-9985","https://archiveofourown.org/tags/Jennie%20Kim*s*Lalisa%20Manoban%20%7C%20Lisa/works?page=24","Swollen //jenlisa//","https://archiveofourown.org/works/26530843","soberyouth","Not Rated","F/F","2018-10-17","245"
